id,year,site,replicate,block,hybrid,date_planted,day_of_year_planted,day_of_year_harvested,date_harvested,yield_mg_ha,grain_moisture,soilpH,om_pct,soilk_ppm,soilp_ppm,previous_crop,longitude,latitude
1,2014,DEH1,1,1,M0088/LH185,2014-05-05,125,272,2014-09-29,5.721724901,20.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
2,2014,DEH1,1,1,M0143/LH185,2014-05-05,125,272,2014-09-29,11.33824635,25.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
3,2014,DEH1,1,1,M0003/LH185,2014-05-05,125,272,2014-09-29,6.54081,20.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
4,2014,DEH1,1,1,M0035/LH185,2014-05-05,125,272,2014-09-29,10.3668568,23.7,NA,NA,NA,NA,soybean,-75.204048,38.637405
5,2014,DEH1,1,1,M0052/LH185,2014-05-05,125,272,2014-09-29,10.90881422,19.4,NA,NA,NA,NA,soybean,-75.204048,38.637405
6,2014,DEH1,1,1,M0008/LH185,2014-05-05,125,272,2014-09-29,11.51011812,16.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
7,2014,DEH1,1,1,M0001/LH185,2014-05-05,125,272,2014-09-29,11.72274331,19.7,NA,NA,NA,NA,soybean,-75.204048,38.637405
8,2014,DEH1,1,1,M0014/LH185,2014-05-05,125,272,2014-09-29,1.354874791,10.5,NA,NA,NA,NA,soybean,-75.204048,38.637405
9,2014,DEH1,1,1,M0352/LH185,2014-05-05,125,272,2014-09-29,7.89468057,17.7,NA,NA,NA,NA,soybean,-75.204048,38.637405
10,2014,DEH1,1,1,M0325/LH185,2014-05-05,125,272,2014-09-29,8.477578749,18.5,NA,NA,NA,NA,soybean,-75.204048,38.637405
11,2014,DEH1,1,1,M0012/LH185,2014-05-05,125,272,2014-09-29,8.263814444,18.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
12,2014,DEH1,1,1,M0296/LH185,2014-05-05,125,272,2014-09-29,12.12044504,18.4,NA,NA,NA,NA,soybean,-75.204048,38.637405
13,2014,DEH1,1,1,M0042/LH185,2014-05-05,125,272,2014-09-29,11.30819464,18.7,NA,NA,NA,NA,soybean,-75.204048,38.637405
14,2014,DEH1,1,1,M0027/LH185,2014-05-05,125,272,2014-09-29,6.979939617,18.3,NA,NA,NA,NA,soybean,-75.204048,38.637405
15,2014,DEH1,1,1,M0083/LH185,2014-05-05,125,272,2014-09-29,14.25023417,19.7,NA,NA,NA,NA,soybean,-75.204048,38.637405
16,2014,DEH1,1,1,M0099/LH185,2014-05-05,125,272,2014-09-29,11.247581630000001,20.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
17,2014,DEH1,1,1,M0151/LH185,2014-05-05,125,272,2014-09-29,12.06441097,18.9,NA,NA,NA,NA,soybean,-75.204048,38.637405
18,2014,DEH1,1,1,M0041/LH185,2014-05-05,125,272,2014-09-29,15.39723509,21.1,NA,NA,NA,NA,soybean,-75.204048,38.637405
19,2014,DEH1,1,1,M0101/LH185,2014-05-05,125,272,2014-09-29,10.56919247,18.1,NA,NA,NA,NA,soybean,-75.204048,38.637405
20,2014,DEH1,1,1,M0317/LH185,2014-05-05,125,272,2014-09-29,11.29580674,17.5,NA,NA,NA,NA,soybean,-75.204048,38.637405
21,2014,DEH1,1,1,M0163/LH185,2014-05-05,125,272,2014-09-29,10.31824199,19.2,NA,NA,NA,NA,soybean,-75.204048,38.637405
22,2014,DEH1,1,1,M0076/LH185,2014-05-05,125,272,2014-09-29,12.39801489,19.3,NA,NA,NA,NA,soybean,-75.204048,38.637405
23,2014,DEH1,1,1,M0311/LH185,2014-05-05,125,272,2014-09-29,11.6527026,19.1,NA,NA,NA,NA,soybean,-75.204048,38.637405
24,2014,DEH1,1,1,M0346/LH185,2014-05-05,125,272,2014-09-29,11.94793626,18.7,NA,NA,NA,NA,soybean,-75.204048,38.637405
25,2014,DEH1,1,1,M0028/LH185,2014-05-05,125,272,2014-09-29,11.8918872,20.1,NA,NA,NA,NA,soybean,-75.204048,38.637405
26,2014,DEH1,1,1,M0106/LH185,2014-05-05,125,272,2014-09-29,12.43466897,17.9,NA,NA,NA,NA,soybean,-75.204048,38.637405
27,2014,DEH1,1,1,M0272/LH185,2014-05-05,125,272,2014-09-29,10.11101262,19.5,NA,NA,NA,NA,soybean,-75.204048,38.637405
28,2014,DEH1,1,1,M0287/LH185,2014-05-05,125,272,2014-09-29,13.59863674,18.3,NA,NA,NA,NA,soybean,-75.204048,38.637405
29,2014,DEH1,1,1,M0355/LH185,2014-05-05,125,272,2014-09-29,5.111420468,18.9,NA,NA,NA,NA,soybean,-75.204048,38.637405
30,2014,DEH1,1,1,M0369/LH185,2014-05-05,125,272,2014-09-29,14.00464203,19.9,NA,NA,NA,NA,soybean,-75.204048,38.637405
31,2014,DEH1,1,1,M0323/LH185,2014-05-05,125,272,2014-09-29,10.8698744,21,NA,NA,NA,NA,soybean,-75.204048,38.637405
32,2014,DEH1,1,1,M0085/LH185,2014-05-05,125,272,2014-09-29,11.91249623,19.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
33,2014,DEH1,1,1,M0118/LH185,2014-05-05,125,272,2014-09-29,9.783561435,20.3,NA,NA,NA,NA,soybean,-75.204048,38.637405
34,2014,DEH1,1,1,M0186/LH185,2014-05-05,125,272,2014-09-29,12.35790598,21.7,NA,NA,NA,NA,soybean,-75.204048,38.637405
35,2014,DEH1,1,1,M0030/LH185,2014-05-05,125,272,2014-09-29,10.85635487,22.2,NA,NA,NA,NA,soybean,-75.204048,38.637405
36,2014,DEH1,1,1,M0075/LH185,2014-05-05,125,272,2014-09-29,11.66710644,19,NA,NA,NA,NA,soybean,-75.204048,38.637405
37,2014,DEH1,1,1,M0297/LH185,2014-05-05,125,272,2014-09-29,14.10068758,19.9,NA,NA,NA,NA,soybean,-75.204048,38.637405
38,2014,DEH1,1,1,M0051/LH185,2014-05-05,125,272,2014-09-29,11.05760388,17.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
39,2014,DEH1,1,1,M0045/LH185,2014-05-05,125,272,2014-09-29,21.63169006,18.3,NA,NA,NA,NA,soybean,-75.204048,38.637405
40,2014,DEH1,1,1,M0159/LH185,2014-05-05,125,272,2014-09-29,11.01448231,17.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
41,2014,DEH1,1,1,M0058/LH185,2014-05-05,125,272,2014-09-29,11.01058533,21.6,NA,NA,NA,NA,soybean,-75.204048,38.637405
42,2014,DEH1,1,1,M0022/LH185,2014-05-05,125,272,2014-09-29,10.81951343,20.5,NA,NA,NA,NA,soybean,-75.204048,38.637405
43,2014,DEH1,1,1,M0154/LH185,2014-05-05,125,272,2014-09-29,10.23499652,18.9,NA,NA,NA,NA,soybean,-75.204048,38.637405
44,2014,DEH1,1,2,Z022E0048/LH185,2014-05-05,125,272,2014-09-29,11.71003316,20.4,NA,NA,NA,NA,soybean,-75.204048,38.637405
45,2014,DEH1,1,2,Z022E0059/LH185,2014-05-05,125,272,2014-09-29,13.56640423,21.6,NA,NA,NA,NA,soybean,-75.204048,38.637405
46,2014,DEH1,1,2,Z022E0149/LH185,2014-05-05,125,272,2014-09-29,13.10602109,25.2,NA,NA,NA,NA,soybean,-75.204048,38.637405
47,2014,DEH1,1,2,Z022E0095/LH185,2014-05-05,125,272,2014-09-29,14.82575806,27,NA,NA,NA,NA,soybean,-75.204048,38.637405
48,2014,DEH1,1,2,Z022E0009/LH185,2014-05-05,125,272,2014-09-29,6.464773936,20.2,NA,NA,NA,NA,soybean,-75.204048,38.637405
49,2014,DEH1,1,2,Z022E0130/LH185,2014-05-05,125,272,2014-09-29,5.032634038,18.7,NA,NA,NA,NA,soybean,-75.204048,38.637405
50,2014,DEH1,1,2,Z022E0023/LH185,2014-05-05,125,272,2014-09-29,9.741406612,16.3,NA,NA,NA,NA,soybean,-75.204048,38.637405
51,2014,DEH1,1,2,Z022E0097/LH185,2014-05-05,125,272,2014-09-29,9.607193141,17.4,NA,NA,NA,NA,soybean,-75.204048,38.637405
52,2014,DEH1,1,2,Z022E0166/LH185,2014-05-05,125,272,2014-09-29,12.89937626,19,NA,NA,NA,NA,soybean,-75.204048,38.637405
53,2014,DEH1,1,2,Z022E0053/LH185,2014-05-05,125,272,2014-09-29,10.1952773,17.6,NA,NA,NA,NA,soybean,-75.204048,38.637405
54,2014,DEH1,1,2,Z022E0073/LH185,2014-05-05,125,272,2014-09-29,12.7415486,19,NA,NA,NA,NA,soybean,-75.204048,38.637405
55,2014,DEH1,1,2,Z022E0160/LH185,2014-05-05,125,272,2014-09-29,11.68086577,20.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
56,2014,DEH1,1,2,Z022E0077/LH185,2014-05-05,125,272,2014-09-29,10.59374343,18.1,NA,NA,NA,NA,soybean,-75.204048,38.637405
57,2014,DEH1,1,2,Z022E0025/LH185,2014-05-05,125,272,2014-09-29,10.08365133,17.3,NA,NA,NA,NA,soybean,-75.204048,38.637405
58,2014,DEH1,1,2,Z022E0008/LH185,2014-05-05,125,272,2014-09-29,10.42340797,18.9,NA,NA,NA,NA,soybean,-75.204048,38.637405
59,2014,DEH1,1,2,Z022E0027/LH185,2014-05-05,125,272,2014-09-29,8.691552885,20.4,NA,NA,NA,NA,soybean,-75.204048,38.637405
60,2014,DEH1,1,2,Z022E0003/LH185,2014-05-05,125,272,2014-09-29,14.24302475,22.3,NA,NA,NA,NA,soybean,-75.204048,38.637405
61,2014,DEH1,1,2,Z022E0005/LH185,2014-05-05,125,272,2014-09-29,9.668593053,18.5,NA,NA,NA,NA,soybean,-75.204048,38.637405
62,2014,DEH1,1,2,Z022E0121/LH185,2014-05-05,125,272,2014-09-29,12.25525055,21,NA,NA,NA,NA,soybean,-75.204048,38.637405
63,2014,DEH1,1,2,Z022E0110/LH185,2014-05-05,125,272,2014-09-29,11.57567731,17.4,NA,NA,NA,NA,soybean,-75.204048,38.637405
64,2014,DEH1,1,2,Z022E0108/LH185,2014-05-05,125,272,2014-09-29,13.94022946,20.2,NA,NA,NA,NA,soybean,-75.204048,38.637405
65,2014,DEH1,1,2,Z022E0006/LH185,2014-05-05,125,272,2014-09-29,11.94254793,19.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
66,2014,DEH1,1,2,Z022E0114/LH185,2014-05-05,125,272,2014-09-29,10.44540342,19.2,NA,NA,NA,NA,soybean,-75.204048,38.637405
67,2014,DEH1,1,2,Z022E0123/LH185,2014-05-05,125,272,2014-09-29,13.21219878,20.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
68,2014,DEH1,1,2,Z022E0042/LH185,2014-05-05,125,272,2014-09-29,15.94595976,21.6,NA,NA,NA,NA,soybean,-75.204048,38.637405
69,2014,DEH1,1,2,Z022E0046/LH185,2014-05-05,125,272,2014-09-29,9.307582884,19.3,NA,NA,NA,NA,soybean,-75.204048,38.637405
70,2014,DEH1,1,2,Z022E0142/LH185,2014-05-05,125,272,2014-09-29,15.17543701,20.9,NA,NA,NA,NA,soybean,-75.204048,38.637405
71,2014,DEH1,1,3,PHB47/LH195,2014-05-05,125,272,2014-09-29,10.29905686,21.2,NA,NA,NA,NA,soybean,-75.204048,38.637405
72,2014,DEH1,1,3,TX785/LH195,2014-05-05,125,272,2014-09-29,12.75912248,18.5,NA,NA,NA,NA,soybean,-75.204048,38.637405
73,2014,DEH1,1,3,W10004_0097/LH195,2014-05-05,125,272,2014-09-29,9.018389548,18.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
74,2014,DEH1,1,3,W10004_0227/LH195,2014-05-05,125,272,2014-09-29,12.06904988,16.6,NA,NA,NA,NA,soybean,-75.204048,38.637405
75,2014,DEH1,1,3,TX303/LH195,2014-05-05,125,272,2014-09-29,9.345061333,17.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
